total_accesses,clock,amat,l1_hits,l1_misses,l1_miss_pct,vc_hits,vc_misses,l2_hits,l2_misses,l2_miss_pct,llc_hits,llc_misses,llc_miss_pct,dram_accesses,dram_prefetch_accesses,prefetch_issued,prefetch_redundant,prefetch_useful,prefetch_timely,prefetch_late,prefetch_wasted_evicted,prefetch_accuracy_pct,prefetch_timeliness_pct,useful_data_evictions,pressure,agg_state_hit_pct,agg_state_accesses,config
730000,202494251,277.38938493150687,2682,727318,99.63260273972602,89,727229,7197,720032,99.01035299747397,0,720032,100.0,720032,0,0,0,0,0,0,0,0.0,0.0,2614515,16,26.82,10000,+victim32
730000,45762767,62.688721917808216,722638,7362,1.0084931506849315,0,0,7322,40,0.54333061668025,0,40,100.0,40,720010,720016,0,719993,560026,159967,1161539,99.99680562654163,77.78214510418852,7401,16,26.46,10000,+stream_pf_d4
730000,45762767,62.688721917808216,722638,7362,1.0084931506849315,107,7255,7215,40,0.5513439007580979,0,40,100.0,40,720010,720016,0,719993,560026,159967,1161554,99.99680562654163,77.78214510418852,14647,16,26.46,10000,+victim32+stream_pf_d4
1370000,382356001,279.09197153284674,1432,1368568,99.89547445255475,59,1368509,8471,1360038,99.38100516693716,1,1360037,99.99992647264267,1360037,0,0,0,0,0,0,0,0.0,0.0,5177056,32,14.32,10000,+victim32
1370000,91522892,66.8050306569343,1361398,8602,0.6278832116788321,0,0,8556,46,0.5347593582887701,1,45,97.82608695652173,45,1360010,1360016,0,1359993,1040031,319962,2441540,99.99830884342538,76.47326125943296,8655,32,14.06,10000,+stream_pf_d4
1370000,91522892,66.8050306569343,1361398,8602,0.6278832116788321,71,8531,8485,46,0.5392099402180284,1,45,97.82608695652173,45,1360010,1360016,0,1359993,1040031,319962,2441555,99.99830884342538,76.47326125943296,17181,32,14.06,10000,+victim32+stream_pf_d4
