total_accesses,clock,amat,l1_hits,l1_misses,l1_miss_pct,vc_hits,vc_misses,l2_hits,l2_misses,l2_miss_pct,llc_hits,llc_misses,llc_miss_pct,dram_accesses,dram_prefetch_accesses,prefetch_issued,prefetch_redundant,prefetch_useful,prefetch_timely,prefetch_late,prefetch_wasted_evicted,prefetch_accuracy_pct,prefetch_timeliness_pct,useful_data_evictions,config
700000,82665212,118.09316,297943,402057,57.43671428571429,0,0,13472,388585,96.64923132789629,141499,247086,63.58608798589755,247086,0,0,0,0,0,0,0,0.0,0.0,765916,A_baseline
700000,82658543,118.08363285714286,297943,402057,57.43671428571429,513,401544,12959,388585,96.77270734963042,141499,247086,63.58608798589755,247086,0,0,0,0,0,0,0,0.0,0.0,1166628,B_victim_only
700000,33689342,48.127631428571426,537779,162221,23.17442857142857,0,0,13628,148593,91.59911478785114,61503,87090,58.60975954452767,87090,160018,240022,2,239992,229991,10001,248826,99.9875011457283,95.83277775925865,157279,C_prefetch_only
700000,33682036,48.117194285714284,537779,162221,23.17442857142857,562,161659,13066,148593,91.91755485311674,61503,87090,58.60975954452767,87090,160018,240022,2,239992,229991,10001,248856,99.9875011457283,95.83277775925865,258106,D_victim+prefetch (recommended)
