config,phase,l1_miss_pct,l2_miss_pct,l3_miss_pct,dram_accesses,cycles,cpu_accesses,amat,wall_seconds
A_baseline,Embedding,4.25525,87.57417308031256,98.92660673554273,29492,4515650,800000,5.6445625,0.5426123749930412
A_baseline,Matrix,50.406234770955166,1.6416783111144682,4.315116747181965,12005,125117428,33619968,3.721521329229106,29.86616270802915
A_baseline,Activation,100.0,6.25,90.42129516601562,118517,27056052,2097152,12.901330947875977,2.7247357501182705
A_baseline,Projection,1.76405851015321,7.237577242558462,100.0,5376,5227203,4210688,1.241413042239178,2.1439934589434415
B_high_assoc,Embedding,3.9865,93.43095447134077,98.90593012719401,29471,4502500,800000,5.628125,0.5352182921487838
B_high_assoc,Matrix,50.31447977582846,2.4569051542140232,2.886167809183283,11995,127710088,33619968,3.798637999893397,31.288612792035565
B_high_assoc,Activation,6.25,100.0,90.447998046875,118552,17229152,2097152,8.215499877929688,1.426297124940902
B_high_assoc,Projection,0.13005000607976655,98.17384952520088,100.0,5376,4883188,4210688,1.1597126170355059,2.152175541035831
C_L1_focus,Embedding,3.858375,96.8542456344964,98.57840513781107,29471,4499355,800000,5.62419375,0.5293497499078512
C_L1_focus,Matrix,50.31381350511696,2.4569376892939774,2.886167809183283,11995,127708968,33619968,3.798604686357822,34.24074483313598
C_L1_focus,Activation,6.25,100.0,90.44876098632812,118553,17229252,2097152,8.215547561645508,1.5051055829972029
C_L1_focus,Projection,0.12767509727626458,100.0,100.0,5376,4882688,4210688,1.1595938715953307,2.2463950829114765
