config,l1_ways,l2_ways,l3_ways,l1_miss_pct,l2_miss_pct,l3_miss_pct,dram_accesses,cpu_accesses,total_cycles,amat
A_baseline,1,2,4,47.02446299098641,2.320735349610143,37.21077782877507,165390,40727808,161916333,3.9755719973930344
B_high_assoc,2,4,8,41.94714333754471,3.405776300749373,28.425636936107026,165394,40727808,154324928,3.789178342227502
C_L1_focus,4,4,8,41.9438311042912,3.4066247793175393,28.42097304393699,165395,40727808,154320263,3.7890638013221825
